Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,062000005,4.35,98.0,216.0,$5513.64,,28.0,5.0,16.0,6.0,Carrier C,$3.2,Supplier 1,Kolkata,28.0,406.0,9.0,$98.49,Fail,3.27,Rail,A route,329.95
cosmetics,062000004,31.84,11.0,407.0,$1638.02,Unknown,41.0,7.0,59.0,7.0,Carrier B,$7.13,Supplier 1,,6.0,599.0,15.0,$67.15,Fail,0.52,Rail,c,
haircare,062000002,78.27,10.0,399.0,,Male,66.0,26.0,81.0,4.0,Carrier A,$2.09,Supplier 5,Bangalore,12.0,721.0,28.0,$49.86,,1.27,Road,a,996.28
haircare,062000003,,15.0,923.0,$9417.67,Non-binary,25.0,26.0,,4.0,Carrier A,$2.02,,Bangalore,11.0,,12.0,$54.2,Fail,,Sea,C route,817.38
cosmetics,062000007,22.79,17.0,715.0,$8656.12,Non-binary,58.0,24.0,79.0,7.0,Carrier A,$4.7,Supplier 1,Kolkata,16.0,168.0,21.0,$71.42,Pending,3.35,Rail,b,407.65
skincare,062000006,22.06,40.0,704.0,,,41.0,12.0,16.0,6.0,,$6.83,,Chennai,20.0,801.0,28.0,$19.14,Pass,0.07,Air,route_C,910.53
haircare,1CUB0040GE,52.0,18.0,761.0,$6651.94,Male,6.0,16.0,15.0,8.0,Carrier C,$7.41,Supplier 3,Mumbai,17.0,790.0,27.0,,,,Sea,A,146.06
cosmetics,1CRG0020GE,97.58,55.0,,$3227.59,Unknown,75.0,23.0,98.0,1.0,Carrier B,$2.61,Supplier 4,Kolkata,20.0,674.0,26.0,,Fail,3.41,Air,C,752.51
haircare,1CUB0020GE,,,754.0,$2465.34,Male,38.0,8.0,11.0,7.0,Carrier A,,,Chennai,9.0,167.0,9.0,$16.6,Fail,3.82,Rail,route_A,
haircare,1CUB0050GE,56.17,25.0,465.0,$2682.23,Female,6.0,28.0,65.0,7.0,Carrier B,$9.46,Supplier 3,Chennai,1.0,817.0,14.0,$27.63,Pending,4.2,Sea,route_B,
skincare,1MES0012GE,86.2,,691.0,$1178.16,Non-binary,45.0,9.0,79.0,7.0,Carrier B,$3.35,Supplier 5,Chennai,26.0,507.0,,$53.67,Pass,1.46,Rail,route_A,988.83
cosmetics,1VBA0260GE,53.97,78.0,949.0,$4516.14,Unknown,75.0,15.0,90.0,7.0,Carrier A,$8.68,Supplier 1,Delhi,3.0,617.0,28.0,$80.63,Pass,4.66,Rail,a,424.8
cosmetics,1VBA0140GE,19.26,89.0,974.0,$2722.85,Female,14.0,5.0,68.0,8.0,,$8.77,Supplier 1,Delhi,21.0,218.0,26.0,$53.69,Fail,2.76,Sea,route_A,838.45
skincare,1VBA0600GE,30.66,22.0,731.0,$4704.9,Female,66.0,13.0,43.0,9.0,Carrier C,,Supplier 3,Chennai,23.0,924.0,6.0,$40.19,Fail,3.48,Rail,,438.48
skincare,1VBA0300GE,31.68,30.0,82.0,,Unknown,40.0,5.0,69.0,9.0,Carrier B,$2.52,Supplier 1,Bangalore,9.0,,19.0,$17.41,Fail,2.98,Sea,route_A,856.03
