Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,C300209-0000/03,80.2,51.0,933.0,$9010.19,Male,85.0,24.0,43.0,9.0,Carrier C,$3.0,Supplier 5,Delhi,6.0,184.0,7.0,$36.04,Pending,0.59,Sea,route_A,247.85
cosmetics,C300208-0000/03,6.1,54.0,777.0,$6802.45,,48.0,28.0,97.0,8.0,Carrier C,$4.99,Supplier 4,Mumbai,17.0,191.0,15.0,,Pending,1.78,Air,,850.05
cosmetics,C300217-0000/04,52.72,21.0,387.0,$6637.92,Unknown,18.0,2.0,76.0,9.0,Carrier C,$8.85,Supplier 3,Kolkata,11.0,900.0,4.0,$59.12,Fail,2.57,Air,routeA,258.12
,C300214-0000/04,,38.0,806.0,$7184.22,Male,47.0,16.0,64.0,7.0,Carrier A,,Supplier 2,Delhi,10.0,483.0,6.0,$22.48,Pending,0.1,Sea,route_A,556.94
haircare,C300209-0000/04,95.72,56.0,,$5264.44,Male,,19.0,38.0,,Carrier C,$7.63,Supplier 3,Delhi,14.0,573.0,3.0,$91.62,,3.2,Air,routeC,365.47
cosmetics,C300208-0000/04,78.72,,722.0,$9992.73,Male,71.0,26.0,9.0,7.0,Carrier C,$6.78,Supplier 3,Bangalore,15.0,,10.0,$64.62,Pending,3.46,Road,,997.8
haircare,C300117-0000/05,41.01,89.0,609.0,$9691.44,Non-binary,75.0,26.0,57.0,5.0,Carrier B,,Supplier 5,Delhi,15.0,,24.0,$77.95,Pending,4.84,Air,a,278.91
,C300114-0000/05,96.35,99.0,584.0,$6111.32,Male,92.0,1.0,92.0,6.0,Carrier C,$4.18,Supplier 2,Bangalore,9.0,833.0,28.0,$88.71,Pass,4.05,Road,C route,714.55
haircare,C300109-0000/05,,,113.0,$1514.53,Female,75.0,13.0,76.0,5.0,Carrier C,$2.91,Supplier 1,,21.0,298.0,16.0,$98.34,Pass,1.98,Air,routeC,300.85
skincare,C300117-0000/02,51.73,48.0,589.0,$7531.78,Female,74.0,15.0,28.0,9.0,Carrier A,$5.43,Supplier 3,Kolkata,17.0,580.0,17.0,$50.46,Fail,2.15,Road,B,171.91
haircare,C300114-0000/02,92.91,,129.0,,Female,90.0,20.0,68.0,2.0,Carrier B,$3.81,Supplier 3,Delhi,25.0,398.0,8.0,$52.06,Fail,2.29,Sea,route_A,128.07
haircare,C300109-0000/02,58.41,85.0,808.0,$7974.0,,59.0,28.0,,8.0,Carrier B,,Supplier 4,Chennai,27.0,181.0,1.0,$18.22,Pass,,Sea,route_C,304.97
skincare,C300117-0000/03,57.8,80.0,272.0,$9755.83,Female,30.0,26.0,26.0,7.0,Carrier A,$4.92,Supplier 4,Bangalore,8.0,374.0,5.0,$49.52,Pending,1.79,Air,route_C,901.46
cosmetics,C300114-000/03,59.78,22.0,858.0,$2288.88,Female,78.0,9.0,79.0,,Carrier C,$7.95,Supplier 3,Kolkata,4.0,960.0,18.0,$20.26,Fail,4.46,Sea,C route,816.05
skincare,C300109-0000/03,79.72,69.0,211.0,$6795.25,Female,59.0,17.0,54.0,7.0,Carrier B,$8.93,Supplier 2,,,994.0,9.0,$30.36,Fail,0.97,Sea,b,469.05
skincare,C300117-0000/04,77.9,74.0,171.0,$6335.31,Male,9.0,6.0,76.0,5.0,Carrier C,$6.36,Supplier 2,Bangalore,4.0,244.0,25.0,$78.0,Pass,3.51,Rail,B,897.12
haircare,C300114-000/04,7.75,35.0,270.0,$9665.43,Non-binary,56.0,7.0,56.0,9.0,Carrier A,$7.99,Supplier 5,Kolkata,12.0,454.0,5.0,,Fail,3.25,Air,routeC,205.29
skincare,C300109-0000/04,98.37,89.0,682.0,$4049.07,Female,24.0,4.0,12.0,3.0,Carrier C,$2.18,Supplier 3,Mumbai,,790.0,26.0,$44.3,Fail,,Sea,B route,992.14
haircare,D505000-0534/01,70.2,8.0,713.0,$4817.88,Male,42.0,5.0,12.0,1.0,,$5.35,Supplier 3,Chennai,17.0,198.0,5.0,,Pending,,Rail,B,518.05
skincare,D505000-0531/01,18.1,84.0,793.0,$7133.7,Male,64.0,6.0,,9.0,Carrier B,$8.28,Supplier 4,Delhi,14.0,366.0,2.0,$33.53,Pending,,Air,a,678.53
haircare,D505000-0533/01,61.85,55.0,760.0,$4290.2,Non-binary,,27.0,2.0,,Carrier A,$4.11,Supplier 3,Delhi,16.0,614.0,1.0,$43.41,Fail,1.04,Air,C route,184.9
skincare,D505000-0532/01,22.28,45.0,773.0,$4957.65,Male,9.0,28.0,10.0,9.0,Carrier A,$8.33,Supplier 1,Bangalore,,477.0,11.0,$35.28,Fail,1.73,Rail,routeC,345.94
haircare,C915405-0539/29,1.7,16.0,,$4682.55,Unknown,38.0,5.0,1.0,3.0,,$4.44,Supplier 2,Delhi,7.0,461.0,15.0,$78.7,Pass,2.6,Rail,A route,463.91
skincare,C915401-0537/29,38.46,39.0,241.0,$5975.08,Male,5.0,,21.0,7.0,Carrier C,$5.04,Supplier 1,Delhi,2.0,624.0,,,Pass,2.13,Sea,B route,423.21
haircare,C915404-0538/29,66.63,36.0,467.0,$9576.26,Male,27.0,16.0,24.0,6.0,Carrier C,$2.58,Supplier 2,Kolkata,24.0,384.0,27.0,$63.57,Pending,4.51,Air,C route,251.09
skincare,C821115-0528/29,44.28,89.0,860.0,$9989.34,Male,31.0,8.0,45.0,,Carrier C,$9.61,,Bangalore,24.0,217.0,15.0,$97.61,Pass,2.41,Air,,658.83
cosmetics,C821111-0565/29,42.04,83.0,475.0,$6406.91,Male,35.0,7.0,21.0,5.0,Carrier B,$6.47,Supplier 4,Kolkata,22.0,932.0,3.0,$85.71,Pass,1.86,Sea,routeA,929.92
skincare,C574843-0563/01,,75.0,418.0,$8124.6,Non-binary,55.0,11.0,11.0,6.0,Carrier C,$3.68,Supplier 3,Kolkata,15.0,989.0,28.0,$51.19,Pass,3.94,Sea,A route,827.17
cosmetics,C574850-0562/01,40.9,47.0,720.0,$7381.85,Male,60.0,17.0,,5.0,Carrier C,$8.88,Supplier 4,Chennai,9.0,858.0,26.0,$11.22,Pending,1.93,,route_B,355.37
skincare,C574840-0561/01,37.06,3.0,227.0,,Female,6.0,29.0,84.0,4.0,,$1.24,Supplier 3,Chennai,26.0,369.0,18.0,$18.81,Fail,4.13,Air,C,512.64
,C574840-0552/01,47.67,,959.0,$7797.46,Female,50.0,23.0,1.0,6.0,,$5.4,,Bangalore,7.0,744.0,20.0,$36.05,Pass,2.97,Road,routeC,100.96
haircare,C574843-0558/01,38.74,52.0,859.0,,Female,46.0,,58.0,2.0,Carrier C,$6.45,Supplier 4,Chennai,1.0,333.0,17.0,$78.96,Pass,0.88,Sea,C,812.78
skincare,C574850-0557/01,9.86,85.0,134.0,,Male,22.0,11.0,37.0,7.0,Carrier A,$2.76,Supplier 1,Bangalore,15.0,,3.0,$35.98,Pending,1.93,Sea,a,897.25
cosmetics,C574840-0556/01,72.75,80.0,662.0,$9408.04,Female,52.0,18.0,53.0,5.0,Carrier C,$1.77,Supplier 1,Kolkata,1.0,968.0,27.0,$50.64,Pending,1.27,Air,C,759.92
cosmetics,C574843-0553/01,45.26,21.0,559.0,$1370.07,Non-binary,46.0,26.0,94.0,9.0,Carrier A,$5.54,Supplier 3,Bangalore,20.0,421.0,18.0,$87.15,Fail,4.96,Rail,b,565.9
cosmetics,C574850-0555/01,21.18,80.0,966.0,$5308.38,Male,83.0,15.0,,1.0,Carrier C,$7.01,Supplier 5,Bangalore,13.0,626.0,9.0,$40.61,,3.34,,a,862.11
skincare,C915305-0569/30,41.07,6.0,714.0,$4713.05,Unknown,11.0,26.0,96.0,8.0,Carrier C,$4.3,,Kolkata,9.0,844.0,8.0,$72.99,Pending,4.99,Air,,734.65
haircare,C915301-0567/30,76.25,17.0,968.0,$3482.94,Female,50.0,5.0,46.0,3.0,,$2.61,Supplier 2,Kolkata,13.0,886.0,4.0,,Pending,2.15,Road,C route,952.44
cosmetics,C915305-0566/29,78.91,39.0,361.0,$8956.87,Female,3.0,15.0,26.0,1.0,Carrier B,$5.97,,Bangalore,1.0,506.0,15.0,$26.91,Fail,1.81,Road,routeB,651.47
haircare,C915301-0570/29,22.21,37.0,171.0,$6747.62,Male,88.0,6.0,15.0,6.0,Carrier A,$5.99,Supplier 4,Kolkata,1.0,209.0,25.0,$14.17,Fail,3.17,Road,B,347.54
skincare,C915205-0612/01,47.63,5.0,26.0,$3913.06,Non-binary,66.0,,,5.0,Carrier C,$4.78,Supplier 2,Bangalore,,390.0,18.0,$74.93,Pass,2.75,Air,,723.16
haircare,C915207-0619/01,61.31,,904.0,$3433.72,Unknown,32.0,8.0,63.0,4.0,Carrier C,,Supplier 1,Mumbai,28.0,375.0,3.0,$72.47,Pending,,Road,c,620.4
haircare,C915207-0617/30,53.5,80.0,872.0,$6867.6,Female,41.0,20.0,83.0,8.0,Carrier C,$3.33,Supplier 1,Bangalore,20.0,880.0,24.0,,Pending,0.85,Sea,route_A,133.73
skincare,C915205-0613/30,71.43,46.0,983.0,$7734.64,Non-binary,97.0,6.0,79.0,9.0,Carrier C,$3.19,Supplier 3,Bangalore,14.0,944.0,9.0,$10.84,Pass,0.51,Rail,routeA,725.69
skincare,C915207-0616/30,79.54,48.0,121.0,$5550.38,Male,65.0,13.0,58.0,6.0,Carrier C,$3.16,Supplier 4,Delhi,9.0,320.0,27.0,$39.56,Pass,2.81,Air,A,412.33
haircare,C915205-0614/30,74.97,91.0,371.0,$9330.62,,58.0,6.0,76.0,,Carrier B,$9.89,Supplier 4,Bangalore,4.0,,7.0,$12.78,Pass,3.44,Road,c,770.98
,C915105-0544/08,32.99,27.0,40.0,$3772.04,Non-binary,8.0,6.0,16.0,8.0,Carrier A,$8.99,Supplier 2,Mumbai,3.0,182.0,22.0,$40.19,Pending,4.61,Sea,c,781.45
cosmetics,C915105-0543/20,51.08,4.0,891.0,$1611.03,Male,24.0,2.0,,3.0,Carrier C,,Supplier 1,Delhi,11.0,333.0,22.0,$53.81,Pending,2.56,Road,A,602.33
cosmetics,C915101-0542/08,31.8,24.0,,$7636.14,Unknown,46.0,9.0,57.0,4.0,Carrier C,$1.17,Supplier 5,Bangalore,28.0,805.0,4.0,$46.87,Fail,2.11,,routeB,578.82
skincare,C915101-0529/20,2.09,92.0,904.0,$3664.35,Unknown,32.0,28.0,96.0,1.0,Carrier C,$8.89,Supplier 2,Mumbai,,635.0,23.0,$48.82,Fail,1.28,Rail,b,558.86
,C915105-0545/20,26.94,96.0,366.0,$8777.04,Non-binary,67.0,28.0,75.0,5.0,Carrier A,$3.1,Supplier 3,Mumbai,18.0,645.0,24.0,$75.98,,4.3,Sea,b,407.43
skincare,C915105-0548/08,3.0,38.0,999.0,$7085.75,Female,,23.0,51.0,7.0,Carrier B,$5.41,Supplier 2,Chennai,6.0,696.0,10.0,$69.62,Fail,3.39,Road,route_A,850.0
haircare,C915101-0549/08,9.53,54.0,234.0,$7506.36,Unknown,78.0,,22.0,4.0,Carrier C,$8.62,Supplier 2,,18.0,733.0,18.0,$91.06,Pass,3.07,Road,route_B,865.06
cosmetics,C915101-0530/20,24.25,40.0,93.0,$3953.2,Male,17.0,10.0,9.0,1.0,Carrier C,$5.57,,Chennai,9.0,683.0,20.0,$76.82,Pending,1.58,Rail,A route,342.3
haircare,101300030,25.53,4.0,86.0,$4938.59,Unknown,81.0,12.0,4.0,,Carrier B,$3.23,Supplier 4,,2.0,310.0,9.0,$67.93,Pending,4.17,Rail,b,295.03
cosmetics,101300012,90.19,66.0,533.0,$1907.06,Male,72.0,5.0,2.0,9.0,,$3.82,Supplier 3,Delhi,2.0,999.0,,$84.71,Fail,4.01,Air,routeA,484.49
cosmetics,101300711,32.38,41.0,511.0,$6210.62,Unknown,,10.0,15.0,4.0,Carrier A,$7.41,Supplier 3,Kolkata,16.0,,20.0,,Pass,,Air,routeC,164.69
cosmetics,123547,84.36,20.0,46.0,$6718.92,Unknown,36.0,29.0,76.0,,Carrier B,$4.28,Supplier 1,Mumbai,6.0,634.0,,$26.95,Fail,4.91,Sea,route_B,225.61
